,country,year,GovExpend,Consumption,Exports,Imports,GDP
0,Canada,2017,0.372664520776378,1.0954749516878999,0.58283065299395,0.60003133675889,1.86816447800856
1,Canada,2016,0.36489933360137,1.0584255616583,0.576393528906879,0.5757748560391059,1.81401551004101
2,Canada,2015,0.35830279230257794,1.0352084569829398,0.568858949015801,0.575792585263662,1.79427007956002
3,Canada,2014,0.353485466168704,1.01198759834952,0.550323222344353,0.572343770023656,1.7822522527948002
4,Canada,2013,0.351541406619088,0.986399888286415,0.518040417109138,0.5586362223758851,1.7327140202718503
5,Canada,2012,0.354341920680791,0.961226048749745,0.505969319669618,0.547756031385833,1.69342847305153
6,Canada,2011,0.35188675115066403,0.9431452556831321,0.492348764927517,0.5282267417138989,1.66423953530399
7,Canada,2010,0.347331886872437,0.921951518090644,0.46994856336505597,0.500341353329594,1.6135428125893898
8,Canada,2009,0.33968641911821607,0.8900778560352081,0.44069224250727007,0.439795796449992,1.56529127535205
9,Canada,2008,0.330766399797777,0.88960204568624,0.506349807733318,0.5022813118717621,1.61286183955018
10,Canada,2007,0.31877695808109896,0.8640115201060501,0.5304534953707281,0.498002018985195,1.5968761604709
11,Canada,2006,0.311381980288986,0.8276425295861921,0.524461038051049,0.47093124522640295,1.56460751533633
12,Canada,2005,0.30304306066721004,0.794390237453188,0.5199501919646681,0.44722157339535995,1.52460847921825
13,Canada,2004,0.299853918947261,0.7643569385301191,0.508656573700632,0.416754239259705,1.47731662160261
14,Canada,2003,0.294334852629701,0.7417958326371509,0.48199307254965507,0.38419858019946596,1.43308867805406
15,Canada,2002,0.286094471348957,0.7219741556470971,0.490464661534049,0.3686145261907971,1.4077245233282802
16,Canada,2001,0.2797668383847,0.694229814058001,0.484695912835893,0.362022959396081,1.36659022253473
17,Canada,2000,0.27055304597548496,0.6777134704394621,0.4995257777413011,0.380823481551252,1.34280540494793
18,Germany,2017,0.745579065877364,2.11200896820441,1.9305627514739296,1.6663483501005398,3.8838696852044894
19,Germany,2016,0.7340141253039741,2.0756148436856203,1.8449492527946296,1.5894945020653,3.80185941570092
20,Germany,2015,0.706114541385845,2.03366581811234,1.80308093764771,1.5270744966394,3.71848230042573
21,Germany,2014,0.685990242878908,1.99995334849988,1.71226998683041,1.44540937214913,3.65492434950701
22,Germany,2013,0.6754707235058319,1.97945770786389,1.63503014853163,1.3943845028370903,3.57701459082977
23,Germany,2012,0.666453988830554,1.96739018794208,1.60745481020889,1.3541216947488002,3.55958740326256
24,Germany,2011,0.6595280965559039,1.9413396462516,1.5632765133908102,1.35500798635069,3.5421602289396
25,Germany,2010,0.6533862635593669,1.9154806560702198,1.4437352334151798,1.26612594055575,3.41709456264895
26,Germany,2009,0.645022920445347,1.90839338267558,1.2605252276593102,1.12191419566156,3.28314445844196
27,Germany,2008,0.6261400579582509,1.9055201630159,1.47029995641232,1.24105665170067,3.47860226477663
28,Germany,2007,0.605623729812256,1.89421882264204,1.4424358670696202,1.21383493470775,3.44135593934145
29,Germany,2006,0.5968683570591801,1.89421882264204,1.31957400334148,1.14255205299567,3.3326923296003703
30,Germany,2005,0.5911838875601271,1.86625280559318,1.17520047999996,1.02809425843357,3.21377743617133
31,Germany,2004,0.5883089858813869,1.8585908776712001,1.10185872749362,0.972004882710454,3.1912246067601497
32,Germany,2003,0.593013368038554,1.84460786914678,0.988669890491566,0.900595386020347,3.15431999607894
33,Germany,2002,0.5898117838234289,1.84250084227929,0.9701900768550029,0.8518495333356769,3.17687281224588
34,Germany,2001,0.5828205444461071,1.8568669538219398,0.9306317301350029,0.8740067306732809,3.17687281224588
35,Germany,2000,0.57981497505051,1.8273685511886901,0.8803897413633051,0.8666632076348341,3.1239078465248196
36,United Kingdom,2017,0.549538230229161,1.80915408631679,0.8626291463563089,0.933144524532508,2.8187035383848102
37,United Kingdom,2016,0.550596107778401,1.7723480317611102,0.8167917485723559,0.9014936102372291,2.76824051322177
38,United Kingdom,2015,0.546479811857841,1.7186287152555602,0.808384217124809,0.8727733078550319,2.71957938765272
39,United Kingdom,2014,0.538887632296321,1.67571551277077,0.7740223005207619,0.827311252859235,2.6571594520087003
40,United Kingdom,2013,0.5272420012178499,1.64233598768518,0.7567496850136579,0.7970742707394449,2.58108049980206
41,United Kingdom,2012,0.52819364206397,1.6125502735207098,0.7454839155634759,0.772692377979345,2.52932297427255
42,United Kingdom,2011,0.5217161992519289,1.58817241534549,0.735331231079529,0.7505402651247679,2.4932442233665095
43,United Kingdom,2010,0.52114611245523,1.59856306771431,0.6908239625803021,0.74506549584434,2.45289966512447
44,United Kingdom,2009,0.519715658429849,1.5871522721587101,0.6538296512441191,0.6890112191606489,2.4116316685741697
45,United Kingdom,2008,0.513869650324128,1.63533347218296,0.713183919212532,0.753501547979587,2.5185846651041897
46,United Kingdom,2007,0.5045492549169179,1.64478899334874,0.7101995608376079,0.7676991429168091,2.5273271105156803
47,United Kingdom,2006,0.499312237198025,1.604404210399,0.717505739306433,0.7861339333374978,2.46459092883971
48,United Kingdom,2005,0.490805824041043,1.57891434130295,0.6400884041523991,0.7159510713354881,2.40335164505865
49,United Kingdom,2004,0.47182836797070293,1.531808130777,0.5930455309382541,0.66799546611892,2.32998678642135
50,United Kingdom,2003,0.452743178857769,1.4840917539923402,0.562653470785322,0.625695588831728,2.27653839883404
51,United Kingdom,2002,0.434953777698752,1.43386066932776,0.5460921151525601,0.606794599509499,2.2029711426683
52,United Kingdom,2001,0.41838684602277293,1.3807789423912098,0.533999231234539,0.5742772301830961,2.14924586413688
